subject,recalled,age
260,3.0476190476190474,57.00048597849374
264,2.0,52.58709396268689
268,5.230769230769231,32.99999315523248
274,2.24,44.34325596464449
275,1.698076923076923,41.83248115977741
277,4.238095238095238,33.87886130447579
281,1.935897435897436,43.5491488531592
283,4.32,29.33119776586788
286,2.96,
288,0.72,53.23848767143291
290,4.558704453441296,19.27201334273348
291,4.28,35.2778177055883
292,3.5576923076923075,39.31623054089634
293,3.7884615384615383,38.0869102947585
297,3.28,
298,2.8076923076923075,24.66306631895248
299,2.2211538461538463,43.60390699329897
302,1.773391812865497,48.33763412892348
304,0.5801282051282052,33.81041362930108
306,1.0869565217391304,46.013265159448856
308,4.6299145299145295,40.080220675304766
309,4.347685185185185,22.434295935805206
310,4.384615384615385,20.334321261445023
311,2.288888888888889,21.89504233488709
313,1.6705128205128206,22.472626633903047
315,2.25,22.382275702672427
316,4.237179487179487,32.66596850037988
317,2.6538461538461537,36.49892423070517
318,5.769230769230769,26.021068194418778
320,1.0357142857142856,56.64991980214059
321,3.8846153846153846,36.54820655683096
323,2.564713064713065,40.1678336995284
324,1.6948529411764706,28.277103568177303
325,1.1850961538461537,
328,2.9038461538461537,28.230559149058504
329,4.216666666666667,37.86525390665106
330,3.5,
331,1.7544642857142856,51.54098532710003
332,4.557692307692308,26.623293656497623
334,2.794871794871795,38.1417825143569
336,2.065826330532213,51.13862707653134
337,3.722222222222222,55.04835828251093
338,0.8717948717948718,22.05110303428544
339,1.9450892857142856,29.24358474164425
341,3.2403846153846154,32.712398840040066
342,2.7524038461538463,41.70368545099032
345,2.170940170940171,48.2200182070816
346,2.6153846153846154,37.59682494050756
347,2.6666666666666665,41.63261394826725
349,2.8076923076923075,43.95162118318651
350,3.659855769230769,49.8571725178021
351,2.8076923076923075,58.758108197521736
354,3.5769230769230766,27.59251273697156
355,1.4230769230769231,36.60296469697074
358,2.2222222222222223,34.86165584052604
361,3.5672268907563023,30.88895277338572
363,1.5482954545454546,33.53377094213662
364,6.153846153846154,26.152487730754224
367,2.3879598662207355,48.65534542119277
368,1.6538461538461537,62.28476058144018
373,2.0,31.551754427994187
374,1.7179487179487178,60.157406837010114
375,3.3076923076923075,22.9655639746196
376,1.6153846153846154,27.76522903732908
377,5.653846153846154,42.94407140461474
378,3.5,38.79614228902715
379,2.1538461538461537,49.75050822398817
380,5.153846153846154,49.20566472959746
381,2.769230769230769,25.94988261223708
382,4.846153846153846,22.711052702428294
383,3.5384615384615383,
384,2.58974358974359,25.36134668519317
385,4.051282051282051,33.83505479236398
386,3.0769230769230766,55.03740665448298
387,2.076923076923077,21.07914604680452
390,2.6923076923076925,32.0663668658494
391,3.641025641025641,29.038241716120112
393,1.3076923076923077,
394,2.6153846153846154,46.36383133580201
395,4.641025641025641,41.1206253379604
396,1.3846153846153846,27.22574727749372
397,3.8461538461538463,34.42655678533212
398,2.769230769230769,45.29855735116623
401,2.3846153846153846,47.12759331129318
402,2.6153846153846154,23.179120721164704
404,2.076923076923077,40.49090672635304
405,2.230769230769231,35.21484584442756
406,1.2692307692307692,52.20355882279125
409,2.1153846153846154,49.04127622971952
412,2.4615384615384617,
413,3.3076923076923075,31.68305988487101
414,4.384615384615385,31.836382677262367
415,1.7692307692307692,54.90051130413355
416,1.8461538461538463,29.40226926859096
420,1.3846153846153846,34.03492200387414
421,2.0,58.426821449676126
422,3.208333333333333,24.509629447102498
423,3.0,34.99045154931313
425,4.846153846153846,36.98638575740775
427,3.307692307692308,26.26188993157514
431,3.4615384615384617,24.495939912067552
433,1.3846153846153846,18.847751836108888
436,2.230769230769231,33.92814363060159
438,2.3846153846153846,25.580151086835
441,5.051282051282051,20.85737557923845
443,1.923076923076923,34.5139416506385
446,1.3076923076923077,42.08163069741336
447,3.875,65.68227501819567
448,2.4615384615384617,34.72749839718361
449,3.3076923076923075,43.90496268460908
454,2.6923076923076925,34.771304909295424
457,1.3846153846153846,51.35218382307645
459,4.995726495726496,31.830792783789764
460,1.0769230769230769,58.87595227828087
461,1.0,37.83513692957419
462,3.6923076923076925,29.90342033032848
463,3.5384615384615383,33.837792699370965
466,3.1538461538461537,22.20180199912843
467,5.076923076923077,27.932127285296755
542,5.9743589743589745,29.28191543974209
565,2.1818181818181817,41.243717073816256
569,2.44,22.57392919316162
571,2.16,31.283325461850687
572,3.0,35.82003737243065
573,2.0,41.70094754398333
